,host_acceptance_rate,host_response_rate,price,number_of_reviews,review_scores_location,review_scores_cleanliness,availability_365,reviews_per_month,review_scores_communication,room_type,property_type
141,0.86,1.0,381.0,26,4.54,5.0,139,0.22,4.96,Private room,Private room in rental unit
142,0.86,1.0,2808.0,1,5.0,5.0,16,0.02,3.0,Hotel room,Room in serviced apartment
143,0.91,1.0,2941.0,175,4.98,4.94,326,1.69,4.95,Entire home/apt,Entire rental unit
144,0.63,1.0,1216.0,30,4.87,4.79,365,0.3,4.67,Entire home/apt,Entire rental unit
145,0.0,0.92,250.0,3,5.0,5.0,365,0.03,4.67,Private room,Private room in rental unit
146,0.67,0.92,420.0,38,4.67,4.17,152,0.68,4.67,Entire home/apt,Entire rental unit
147,1.0,0.92,900.0,62,4.94,4.79,333,0.57,4.87,Entire home/apt,Entire guesthouse
148,1.0,0.92,566.0,1,5.0,5.0,335,0.03,5.0,Private room,Private room in rental unit
149,0.58,0.92,2561.0,164,4.48,4.75,276,1.43,4.97,Entire home/apt,Entire home
150,1.0,1.0,545.0,42,4.73,4.8,364,0.4,4.98,Private room,Private room in guesthouse
151,1.0,1.0,600.0,17,4.88,4.5,87,0.15,4.94,Private room,Private room in rental unit
152,1.0,1.0,3068.0,95,4.97,4.77,179,1.05,4.77,Entire home/apt,Entire rental unit
153,1.0,1.0,1362.0,78,4.82,4.78,200,0.62,4.65,Entire home/apt,Entire condo
154,0.64,1.0,980.0,129,4.84,4.88,209,1.1,4.89,Entire home/apt,Entire loft
155,1.0,1.0,1685.0,322,4.95,4.95,146,2.76,4.98,Entire home/apt,Entire rental unit
156,0.77,1.0,290.0,28,4.85,4.78,354,0.25,5.0,Private room,Private room in rental unit
157,0.96,1.0,1346.0,101,4.88,4.78,358,0.9,4.97,Entire home/apt,Entire rental unit
158,0.0,1.0,540.0,10,4.6,4.8,62,0.09,5.0,Private room,Private room in rental unit
159,0.94,1.0,2564.0,215,4.96,4.96,178,1.83,4.9,Entire home/apt,Entire serviced apartment
160,0.0,1.0,366.0,6,4.5,4.83,81,0.05,4.83,Private room,Private room in rental unit
161,0.0,0.5,1362.0,24,4.59,4.68,181,0.19,4.59,Entire home/apt,Entire rental unit
162,0.99,1.0,594.0,34,4.61,4.7,332,0.31,4.94,Entire home/apt,Entire rental unit
163,1.0,1.0,549.0,12,4.42,4.17,332,0.12,4.67,Entire home/apt,Entire home
164,1.0,1.0,1109.0,91,4.9,4.89,11,0.78,4.99,Entire home/apt,Entire loft
165,0.91,1.0,220.0,2,5.0,4.5,0,0.03,5.0,Private room,Private room in home
166,1.0,1.0,750.0,200,4.96,4.99,179,1.72,4.97,Private room,Private room in serviced apartment
167,0.81,1.0,4938.0,1,5.0,5.0,250,0.01,5.0,Entire home/apt,Entire condo
168,0.81,1.0,3731.0,1,3.0,5.0,238,0.01,4.0,Entire home/apt,Entire condo
169,1.0,1.0,914.0,66,4.76,4.73,88,0.65,4.91,Entire home/apt,Entire rental unit
170,0.81,1.0,5809.0,4,5.0,5.0,251,0.04,5.0,Entire home/apt,Entire condo
171,1.0,1.0,1362.0,191,4.73,4.63,358,1.47,4.95,Entire home/apt,Entire rental unit
172,0.99,1.0,1232.0,238,4.96,4.89,159,2.05,4.95,Entire home/apt,Entire rental unit
173,0.91,1.0,246.0,16,5.0,4.94,0,0.21,5.0,Private room,Private room in home
174,0.0,1.0,1815.0,0,4.98,4.92,365,0.69,4.94,Shared room,Shared room in rental unit
175,1.0,1.0,349.0,53,4.98,4.92,172,0.69,4.94,Private room,Private room in guest suite
176,1.0,1.0,1989.0,285,4.94,4.83,325,2.27,4.98,Entire home/apt,Entire rental unit
177,0.93,1.0,549.0,3,4.67,5.0,365,0.05,5.0,Private room,Private room in condo
178,0.93,1.0,980.0,119,4.6,4.85,75,1.21,4.94,Entire home/apt,Entire rental unit
179,0.64,1.0,800.0,54,4.96,4.92,350,0.47,4.94,Entire home/apt,Entire rental unit
180,0.98,1.0,1943.0,316,4.9,4.89,153,2.71,4.97,Entire home/apt,Entire rental unit
181,0.0,1.0,5999.0,22,5.0,4.91,332,0.17,5.0,Entire home/apt,Entire home
182,0.0,0.0,650.0,0,4.83,4.84,365,0.78,4.94,Private room,Private room in rental unit
183,0.75,1.0,1500.0,0,4.83,4.84,364,0.78,4.94,Private room,Private room in condo
184,0.75,1.0,9059.0,97,4.83,4.84,337,0.78,4.94,Entire home/apt,Entire rental unit
185,0.0,1.0,508.0,1,5.0,5.0,193,0.01,4.0,Private room,Private room in condo
186,0.94,1.0,2900.0,25,4.92,5.0,365,0.22,4.96,Hotel room,Room in boutique hotel
187,0.98,1.0,1757.0,304,4.94,4.91,137,2.63,4.99,Entire home/apt,Entire rental unit
188,1.0,1.0,788.0,37,4.78,4.92,134,0.58,5.0,Entire home/apt,Entire condo
189,0.99,1.0,1180.0,34,4.91,4.94,149,2.2,4.79,Entire home/apt,Entire condo
190,0.0,1.0,1171.0,0,4.59,4.51,365,0.66,4.76,Private room,Private room in rental unit
191,1.0,1.0,826.0,85,4.59,4.51,355,0.66,4.76,Entire home/apt,Entire home
192,0.9,1.0,1000.0,263,4.92,4.7,322,2.06,4.91,Entire home/apt,Entire condo
193,0.2,1.0,1280.0,19,4.84,4.68,363,0.18,4.74,Entire home/apt,Entire condo
194,0.9,1.0,1130.0,146,4.73,4.54,364,1.17,4.86,Entire home/apt,Entire rental unit
195,0.86,0.83,1870.0,297,4.98,4.93,312,2.63,4.94,Entire home/apt,Entire loft
